time;gain
0,051;59,97
0,152;59,97
0,253;57,07
0,354;57,07
0,454;57,07
0,555;55,65
0,656;55,65
0,756;55,65
0,857;57,78
0,958;57,78
1,058;57,78
1,159;56,95
1,260;56,95
1,361;56,95
1,461;56,75
1,562;56,75
1,663;56,75
1,764;55,22
1,864;55,22
1,965;55,22
2,066;56,08
2,167;56,08
2,267;56,08
2,368;57,29
2,469;57,29
2,570;57,29
2,670;56,26
2,771;56,26
2,872;56,26
2,973;58,83
3,073;58,83
3,174;58,83
3,275;58,90
3,376;58,90
3,476;58,90
3,577;59,79
3,678;59,79
3,779;59,79
3,879;56,00
3,980;56,00
4,081;56,00
4,182;56,29
4,282;56,29
4,383;56,29
4,484;56,24
4,585;56,24
4,685;56,24
4,786;54,24
4,887;54,24
4,988;54,24
5,088;58,33
5,189;58,33
5,290;58,33
5,390;55,88
5,491;55,88
5,592;55,88
5,693;56,22
5,794;56,22
5,894;56,22
5,995;54,58
6,096;54,58
6,197;54,58
6,298;56,38
6,399;56,38
6,500;56,38
6,601;54,02
6,702;54,02
6,803;54,02
6,905;39,18
7,006;39,18
7,108;39,18
7,209;58,71
7,310;58,71
7,412;58,71
7,513;56,29
7,614;56,29
7,715;58,71
7,816;58,71
7,917;58,71
8,017;56,74
8,118;56,74
8,219;56,74
8,320;56,69
8,420;56,69
8,522;56,69
8,623;71,38
8,724;71,38
8,825;71,38
8,926;60,22
9,026;60,22
9,127;60,22
9,228;56,66
9,329;56,66
9,429;56,66
9,530;55,62
9,631;55,62
9,731;55,62
9,832;56,05
9,933;56,05
10,034;56,05
10,135;55,15
10,236;55,15
10,337;55,15
10,438;56,11
10,539;56,11
10,640;56,11
10,740;53,97
10,841;53,97
10,942;53,97
11,043;53,70
11,144;53,70
11,245;53,70
11,346;54,38
11,447;54,38
11,547;54,38
11,648;52,06
11,748;52,06
11,849;52,06
11,950;53,80
12,050;53,80
12,151;53,80
12,252;53,51
12,352;53,51
12,453;53,51
12,553;54,77
12,654;54,77
12,755;54,77
12,855;55,06
12,956;55,06
13,057;55,06
13,157;55,84
13,258;55,84
13,359;55,84
13,460;69,95
13,561;69,95
13,661;69,95
13,762;57,39
13,862;57,39
13,963;57,39
14,064;55,16
14,164;55,16
14,265;55,16
14,366;54,59
14,466;54,59
14,567;54,59
14,667;54,27
14,768;54,27
14,868;54,27
14,969;55,61
