time;gain
0,003;70,47
0,103;66,76
0,203;66,76
0,304;66,76
0,404;71,52
0,505;71,52
0,606;71,52
0,706;82,55
0,807;82,55
0,907;82,55
1,008;71,49
1,109;71,49
1,210;71,49
1,311;64,79
1,412;64,79
1,513;64,79
1,614;70,41
1,715;70,41
1,816;70,41
1,917;69,07
2,018;69,07
2,118;69,07
2,219;68,17
2,320;68,17
2,421;68,17
2,522;64,08
2,623;64,08
2,723;64,08
2,824;61,49
2,925;61,49
3,026;61,49
3,127;76,39
3,227;76,39
3,328;76,39
3,429;65,99
3,530;65,99
3,631;65,99
3,732;67,47
3,832;67,47
3,933;67,47
4,034;74,51
4,135;74,51
4,236;74,51
4,337;62,15
4,438;62,15
4,538;62,15
4,639;63,70
4,740;63,70
4,841;63,70
4,942;57,65
5,043;57,65
5,143;57,65
5,245;60,43
5,346;60,43
5,446;60,43
5,547;61,49
5,648;61,49
5,749;61,49
5,850;63,40
5,951;63,40
6,052;63,40
6,153;63,36
6,253;63,36
6,354;63,36
6,455;62,77
6,556;62,77
6,657;62,77
6,757;60,04
6,858;60,04
6,959;60,04
7,060;61,98
7,161;61,98
7,261;61,98
7,362;60,39
7,463;60,39
7,564;60,39
7,665;59,02
7,766;59,02
7,866;59,02
7,967;63,15
8,068;63,15
8,169;63,15
8,269;60,21
8,370;60,21
8,470;60,21
8,570;59,32
8,671;59,32
8,771;59,32
8,872;57,70
8,972;57,70
9,073;57,70
9,173;62,11
9,274;62,11
9,375;62,11
9,476;59,43
9,577;59,43
9,677;59,43
9,778;60,37
9,879;60,37
9,980;60,37
10,081;56,21
10,182;56,21
10,283;56,21
10,384;61,95
10,485;61,95
10,585;61,95
10,687;52,73
10,787;52,73
10,888;52,73
10,989;51,07
11,090;51,07
11,191;62,30
11,291;62,30
11,392;62,30
11,493;59,14
11,594;59,14
11,695;59,14
11,796;62,67
11,896;62,67
11,997;62,67
12,098;64,41
12,199;64,41
12,300;64,41
12,400;87,60
12,501;87,60
12,602;87,60
12,703;68,74
12,803;68,74
12,904;68,74
13,006;59,63
13,107;59,63
13,207;59,63
13,308;58,67
13,409;58,67
13,510;58,67
13,611;58,48
13,712;58,48
13,813;58,48
13,913;62,03
14,014;62,03
14,115;62,03
14,216;58,83
14,317;58,83
14,418;58,83
14,519;59,39
14,619;59,39
14,720;59,39
14,821;58,66
14,922;58,66
15,023;58,66
15,124;59,04
15,225;59,04
15,326;59,04
15,427;60,15
15,528;60,15
15,629;60,15
15,730;97,42
15,831;97,42
15,931;97,42
16,032;87,31
16,133;87,31
16,234;87,31
16,335;67,85
16,436;67,85
16,536;67,85
16,637;58,57
16,738;58,57
16,839;58,57
16,940;57,74
17,041;57,74
17,141;57,74
17,243;55,48
17,343;55,48
17,444;55,48
17,545;57,87
17,645;57,87
17,746;57,87
17,846;59,95
17,947;59,95
18,047;59,95
18,148;60,80
18,250;60,80
18,351;60,80
18,452;66,81
18,553;66,81
18,653;66,81
18,754;57,42
